model_type,outcome,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","total_contributions_q100","var3",.4038293232090741,.35785431,.25912547,33.241905,,519099
"OLS","total_contributions_q100","var5",-3.11315743480631,1.4369022,.030272206,33.241905,,519099
"OLS","total_contributions_q100","var4",.8875814416858914,1.2543368,.47919092,33.241905,,519099
"IV","total_contributions_q100","var3",19.23840835835517,4.4562726,.000015837681,33.241905,128.0282813075442,519099
"IV","total_contributions_q100","var5",-10.95767221150612,8.1216831,.17728327,33.241905,128.0282813075442,519099
"IV","total_contributions_q100","var4",3.008835611247026,6.3371797,.63493818,33.241905,128.0282813075442,519099
"OLS","restricted_contributions_q100","var3",-.1452333801911221,.11098123,.19066602,9.5227404,,519099
"OLS","restricted_contributions_q100","var5",.9494810110174055,.62248641,.12718998,9.5227404,,519099
"OLS","restricted_contributions_q100","var4",-1.459076723729447,.53551555,.0064399135,9.5227404,,519099
"IV","restricted_contributions_q100","var3",-.3527085494597719,1.2261363,.7736094,9.5227404,128.0282813436191,519099
"IV","restricted_contributions_q100","var5",6.039357737922252,3.4445636,.0795568,9.5227404,128.0282813436191,519099
"IV","restricted_contributions_q100","var4",-5.705722203174644,2.8314106,.043894406,9.5227404,128.0282813436191,519099
"OLS","total_contributions_we","var3",-.9848483727707543,.69157803,.15443583,29.473537,,519099
"OLS","total_contributions_we","var5",2.306748865158679,4.01333,.56544834,29.473537,,519099
"OLS","total_contributions_we","var4",-9.823890732960441,3.4535036,.0044484148,29.473537,,519099
"IV","total_contributions_we","var3",-8.03681878126854,6.9897494,.2502318,29.473537,128.0282813436191,519099
"IV","total_contributions_we","var5",40.54838801104606,23.34976,.08247041,29.473537,128.0282813436191,519099
"IV","total_contributions_we","var4",-40.41764490040742,19.297268,.036223009,29.473537,128.0282813436191,519099
"OLS","restricted_contributions_we","var3",-.4421112324755446,.35662714,.21509194,11.857959,,519099
"OLS","restricted_contributions_we","var5",3.311714896959104,2.4280293,.17258923,11.857959,,519099
"OLS","restricted_contributions_we","var4",-7.093594219690115,2.0964448,.00071592454,11.857959,,519099
"IV","restricted_contributions_we","var3",-6.125754714170495,3.5954885,.08843746,11.857959,128.0282813436191,519099
"IV","restricted_contributions_we","var5",37.11821457315997,14.111485,.0085323472,11.857959,128.0282813436191,519099
"IV","restricted_contributions_we","var4",-34.27070532776575,11.743641,.0035218503,11.857959,128.0282813436191,519099
