model_type,spec,param,coef,se,pval,pre_mean,rkf,nobs
"OLS","baseline","var3",.0032223244206743,.0046965387,.49269149,.11423093,,41980
"OLS","baseline","var5",.0699523298961702,.023694638,.0031756724,.11423093,,41980
"IV","baseline","var3",.0057808689670513,.0093487939,.53638178,.11423093,16.529673,41980
"IV","baseline","var5",.2088020915325492,.10175639,.040245675,.11423093,16.529673,41980
"OLS","rent","var3",.0068643598034948,.011385536,.54661667,.11683787,,38436
"OLS","rent","var5",.0706848698041715,.025615053,.005821785,.11683787,,38436
"IV","rent","var3",-.1129942311796562,.043367371,.0092161102,.11683787,11.266614,38436
"IV","rent","var5",.1392547182136998,.099329554,.16102803,.11683787,11.266614,38436
"OLS","hhi","var3",-.0185788080655069,.0068321414,.0065767965,.11683787,,38436
"OLS","hhi","var5",.0625240791262453,.024860885,.011953202,.11683787,,38436
"IV","hhi","var3",-.0392235541915427,.018472387,.033799969,.11683787,10.14442,38436
"IV","hhi","var5",.0368555585163188,.10196865,.7177943,.11683787,10.14442,38436
"OLS","rent_hhi","var3",-.0157383838267159,.012960131,.22469623,.11683787,,38436
"OLS","rent_hhi","var5",.0625721805000525,.025421936,.013893988,.11683787,,38436
"IV","rent_hhi","var3",-.1567987028197982,.044410396,.00042033521,.11683787,8.4050817,38436
"IV","rent_hhi","var5",.0257572042627499,.10090185,.798531,.11683787,8.4050817,38436
"OLS","seniority","var3",.0239486033547501,.023815813,.31469557,.11683787,,38436
"OLS","seniority","var5",.0675954598055584,.024661396,.006160296,.11683787,,38436
"IV","seniority","var3",-.037135036167277,.067384847,.58161116,.11683787,9.8363609,38436
"IV","seniority","var5",.121741483096355,.096418932,.20681383,.11683787,9.8363609,38436
"OLS","rent_seniority","var3",.0284387383395357,.025543362,.265641,.11683787,,38436
"OLS","rent_seniority","var5",.0680729996013485,.025157159,.0068478165,.11683787,,38436
"IV","rent_seniority","var3",-.1503916965078596,.079084001,.05730382,.11683787,8.3537149,38436
"IV","rent_seniority","var5",.108662683673744,.095779352,.25666526,.11683787,8.3537149,38436
"OLS","hhi_seniority","var3",-.0216320044812178,.026322378,.41124591,.11683787,,38436
"OLS","hhi_seniority","var5",.0644076199148505,.024620846,.0089389281,.11683787,,38436
"IV","hhi_seniority","var3",-.1588282730135074,.071741447,.026905891,.11683787,7.7011023,38436
"IV","hhi_seniority","var5",.0556965689172985,.10105608,.58157259,.11683787,7.7011023,38436
"OLS","rent_hhi_seniority","var3",-.0188575348122382,.028930044,.51455611,.11683787,,38436
"OLS","rent_hhi_seniority","var5",.0645240429086317,.025157195,.010367628,.11683787,,38436
"IV","rent_hhi_seniority","var3",-.2699356092541201,.083247893,.0011967833,.11683787,6.6170168,38436
"IV","rent_hhi_seniority","var5",.0453160092245706,.1002102,.65114862,.11683787,6.6170168,38436
